"EcolGroup","emmean","SE","df","lower.CL","upper.CL","var","test.categ","ecol"
"elongated",-1.90708669446584,0.361111666623589,27.7198884756231,-2.64712730777121,-1.16704608116047,"RMR","warm","BodyShapeI"
"fusiform",-1.34621680230987,0.190790094553616,34.6304665725853,-1.73368908445662,-0.958744520163109,"RMR","warm","BodyShapeI"
"short/deep",-1.92642906391592,0.4182672723099,28.1055571054029,-2.78306578582556,-1.06979234200629,"RMR","warm","BodyShapeI"
"Polar",-1.00231482851871,0.37242804067858,32.6039549595581,-1.7603751819598,-0.244254475077617,"RMR","warm","Climate"
"Subtropical",-1.03618530706125,0.284102643849964,30.7412901790174,-1.61581417581588,-0.456556438306621,"RMR","warm","Climate"
"Temperate",-1.41321968801491,0.266581800847752,34.3376645048743,-1.95478292479965,-0.871656451230157,"RMR","warm","Climate"
"Tropical",-2.05954881081996,0.214713961592641,32.93090020406,-2.49642247492484,-1.62267514671509,"RMR","warm","Climate"
"Freshwater",-1.4607250294309,0.467026980057256,31.4660417853316,-2.41266137170293,-0.508788687158872,"RMR","warm","salintyComb"
"Freshwater; brackish",-2.02071231098982,0.466460064750787,31.4155510726244,-2.97155410319992,-1.06987051877973,"RMR","warm","salintyComb"
"Marine",-1.8697398823833,0.211947446189696,33.4916286836099,-2.30070986865872,-1.43876989610788,"RMR","warm","salintyComb"
"Marine; brackish",-0.677997402351634,0.473053154465071,32.7878052362926,-1.64066795801457,0.284673153311307,"RMR","warm","salintyComb"
"Marine; freshwater; brackish",-1.1383851857585,0.260430438558221,38.0058333277276,-1.665596388331,-0.611173983186001,"RMR","warm","salintyComb"
"benthopelagic",-0.426080430093692,0.092663034121216,77.049846730528,-0.610594199095915,-0.241566661091469,"MMR","opt","DemersPelag"
"demersal",-0.255220112452468,0.12633439346066,75.3954519530487,-0.506869495306226,-0.00357072959870947,"MMR","opt","DemersPelag"
"pelagic",0.63692185154946,0.323582251870574,79.6711679722602,-0.00706815573376618,1.28091185883269,"MMR","opt","DemersPelag"
"reef-associated",-0.195736691112073,0.184329601198467,74.7932716722346,-0.56295672329637,0.171483341072224,"MMR","opt","DemersPelag"
"elongated",-0.290347229925602,0.144182697753956,98.9568587991863,-0.576438525867903,-0.00425593398330071,"MMR","opt","BodyShapeI"
"fusiform",-0.311478034497734,0.0880817915757247,66.6753284654093,-0.487305764515912,-0.135650304479556,"MMR","opt","BodyShapeI"
"short/deep",-0.240001242655877,0.233800499031139,96.737580455337,-0.704046411371439,0.224043926059685,"MMR","opt","BodyShapeI"
"Polar",-0.934195024243504,0.635423126986874,147.372687732888,-2.18991301777308,0.321522969286076,"MMR","opt","Climate"
"Subtropical",-0.29698766822629,0.100477439026565,81.1459529684675,-0.49690080358843,-0.09707453286415,"MMR","opt","Climate"
"Temperate",-0.34110827537393,0.140893803496326,78.3753573376773,-0.621585133182151,-0.060631417565709,"MMR","opt","Climate"
"Tropical",-0.237893097911213,0.151722994204149,64.5451286787193,-0.540945328919971,0.0651591330975445,"MMR","opt","Climate"
"Freshwater",-0.275324906951825,0.114285607082619,93.2870398547785,-0.502264270288391,-0.0483855436152591,"MMR","opt","salintyComb"
"Freshwater; brackish",-0.551731325057182,0.120418828836861,67.9835328299093,-0.792024410665292,-0.311438239449072,"MMR","opt","salintyComb"
"Marine",-0.227120812364655,0.17147793014067,82.0560705258513,-0.568241551083467,0.113999926354157,"MMR","opt","salintyComb"
"Marine; brackish",0.138483764729564,0.371372558224173,142.339922870579,-0.595634524439944,0.872602053899072,"MMR","opt","salintyComb"
"Marine; freshwater; brackish",-0.0177944216424394,0.170830098180084,62.0759913511312,-0.359270606817088,0.323681763532209,"MMR","opt","salintyComb"
"benthopelagic",0.115771129637859,0.235622482535531,36.5151525156315,-0.36185943668944,0.593401695965158,"MMR","warm","DemersPelag"
"demersal",-0.0373664635883748,0.233661493525035,39.2631688617865,-0.509890180780758,0.435157253604008,"MMR","warm","DemersPelag"
"pelagic",0.547522533264366,0.515103022483585,75.8075404914596,-0.478436170503262,1.57348123703199,"MMR","warm","DemersPelag"
"reef-associated",-0.352542337401615,0.23227956477841,39.3682275024535,-0.822231639914212,0.117146965110982,"MMR","warm","DemersPelag"
"elongated",-0.473103259274894,0.278368651448833,33.7116963476219,-1.03899467977095,0.0927881612211621,"MMR","warm","BodyShapeI"
"fusiform",0.0766180154587488,0.159247011012583,30.290301818982,-0.248477113625596,0.401713144543093,"MMR","warm","BodyShapeI"
"short/deep",-0.201806973816977,0.395928232027265,40.5363924174225,-1.00167807353361,0.598064125899655,"MMR","warm","BodyShapeI"
"Polar",-0.859330986640273,0.694496224959811,52.6344471298685,-2.25253988244428,0.533877909163731,"MMR","warm","Climate"
"Subtropical",0.129842837703429,0.207860739426587,31.557330870701,-0.29378868518341,0.553474360590269,"MMR","warm","Climate"
"Temperate",0.107399589807717,0.335099636594155,48.6385339044343,-0.566134952258511,0.780934131873946,"MMR","warm","Climate"
"Tropical",-0.262175593215987,0.20744770387028,37.2178780644761,-0.682421524045503,0.158070337613529,"MMR","warm","Climate"
"Freshwater",0.452934070725579,0.482559589031225,54.6526029140809,-0.514275145455849,1.42014328690701,"MMR","warm","salintyComb"
"Freshwater; brackish",-0.23664637078559,0.367879089882938,49.5393228583579,-0.975723555084748,0.502430813513569,"MMR","warm","salintyComb"
"Marine",-0.33298115783909,0.238420085903576,52.3761358954189,-0.811324294125769,0.145361978447589,"MMR","warm","salintyComb"
"Marine; brackish",-0.00249919931471271,0.365787525800651,49.743243379012,-0.737299039915572,0.732300641286146,"MMR","warm","salintyComb"
"Marine; freshwater; brackish",0.0903430422130333,0.230063186189803,50.1425331272283,-0.371719923733566,0.552406008159633,"MMR","warm","salintyComb"
