"contrast","estimate","SE","df","t.ratio","p.value","var","test.categ","ecol"
"benthopelagic - pelagic",-1.56703278140185,0.67544420074036,17.3841016277687,-2.32000330994657,0.13168237274857,"AS","warm","DemersPelag"
"benthopelagic - (reef-associated)",-0.022958317971215,0.466530885146224,23.9169119333797,-0.0492107140216863,0.99995591496381,"AS","warm","DemersPelag"
"demersal - pelagic",-1.42032401006339,0.597338233592779,12.8722909005447,-2.37775506436386,0.131298679544784,"AS","warm","DemersPelag"
"demersal - (reef-associated)",0.123750453367243,0.401922235082032,25.0714769914821,0.307896509736481,0.989624898677794,"AS","warm","DemersPelag"
"pelagic - (reef-associated)",1.54407446343064,0.589845043185411,13.8670899426182,2.61776288750684,0.0845255202304617,"AS","warm","DemersPelag"
"elongated - fusiform",-0.977438432346484,0.387336278798366,20.4543017567426,-2.52348795051885,0.0502145121735144,"AS","warm","BodyShapeI"
"elongated - (short/deep)",-0.728490497251564,0.566307280908864,20.351225827443,-1.28638730563805,0.418599301007752,"AS","warm","BodyShapeI"
"fusiform - (short/deep)",0.248947935094919,0.504316818682142,20.2357953301248,0.493634013129799,0.87512640279887,"AS","warm","BodyShapeI"
"Polar - Subtropical",-1.91067373670041,0.745544143624266,26.4449889618642,-2.56279088641509,0.0729713323152523,"AS","warm","Climate"
"Polar - Temperate",-2.04768490456945,0.765743006889084,28.712965781509,-2.67411505707169,0.0560496543990561,"AS","warm","Climate"
"Polar - Tropical",-1.79473674158099,0.713189471458213,29.0012786879175,-2.51649360149892,0.0782919624683607,"AS","warm","Climate"
"Subtropical - Temperate",-0.13701116786904,0.51966999708039,28.6058665920304,-0.26365033317066,0.993437602015148,"AS","warm","Climate"
"Subtropical - Tropical",0.115936995119421,0.40731858997842,22.7690150622001,0.284634676569913,0.991735536024303,"AS","warm","Climate"
"Temperate - Tropical",0.252948162988461,0.449175468021162,28.6969584999752,0.563138864423789,0.942153675389548,"AS","warm","Climate"
"Freshwater - Freshwater; brackish",0.605429209846817,0.93689072750546,21.7609582806222,0.646211123744192,0.965528832854484,"AS","warm","salintyComb"
"Freshwater - Marine",0.775174215921802,0.813732587996362,22.0028642400539,0.952615425947851,0.872965753418748,"AS","warm","salintyComb"
"Freshwater - Marine; brackish",1.38667395613451,0.942404156483177,23.2652982499612,1.47142173195547,0.5900900345345,"AS","warm","salintyComb"
"Freshwater - Marine; freshwater; brackish",0.154145158234942,0.849417067499827,23.4693052436702,0.181471698807104,0.999738095613747,"AS","warm","salintyComb"
"Freshwater; brackish - Marine",0.169745006074985,0.610557737155083,21.3607539582128,0.278016305003222,0.998581476497658,"AS","warm","salintyComb"
"Freshwater; brackish - Marine; brackish",0.781244746287694,0.765433490475993,22.6215813114216,1.02065660309933,0.843217510789029,"AS","warm","salintyComb"
"Freshwater; brackish - Marine; freshwater; brackish",-0.451284051611875,0.669715987675689,24.3093981458507,-0.67384392774928,0.9602199564534,"AS","warm","salintyComb"
"Marine - Marine; brackish",0.611499740212709,0.619516031072786,24.0977126341404,0.987060398023606,0.858501483514348,"AS","warm","salintyComb"
"Marine - Marine; freshwater; brackish",-0.62102905768686,0.477387205944011,27.3390512261212,-1.30089170793508,0.692882342163563,"AS","warm","salintyComb"
"Marine; brackish - Marine; freshwater; brackish",-1.23252879789957,0.667480039914813,25.8887528643632,-1.8465403071182,0.370030991206545,"AS","warm","salintyComb"
"benthopelagic - demersal",0.0505793485576608,0.106053205804697,60.4979765659223,0.476924277525427,0.963897564072883,"FAS","opt","DemersPelag"
"benthopelagic - pelagic",-0.187664171503896,0.256104205302595,60.1846555316689,-0.732764896547345,0.883540586211022,"FAS","opt","DemersPelag"
"benthopelagic - (reef-associated)",-0.059135252240804,0.133111372051285,60.4661836638337,-0.444253945620967,0.970479728665933,"FAS","opt","DemersPelag"
"demersal - pelagic",-0.238243520061557,0.260172213390783,58.9615309007547,-0.915714698954848,0.796555651647186,"FAS","opt","DemersPelag"
"demersal - (reef-associated)",-0.109714600798465,0.143901098138717,62.3439400780287,-0.76243060141697,0.870976075805042,"FAS","opt","DemersPelag"
