"tempTestK1000","lnBWg","model_predFE","CI_2.5","CI_97.5","tempTestK1000_inC"
3.49335781574325,2.45954055100434,1.52787335765781,1.19527674951451,1.46797320185796,11.1075357993318
3.54335781574325,2.45954055100434,1.41412195977116,1.06234133780842,1.3458016800923,7.06818173625243
3.59335781574325,2.45954055100434,1.30037056188451,0.929405926102332,1.22363015832664,3.14123935801507
3.64335781574325,2.45954055100434,1.18661916399786,0.796470514396241,1.11784684667636,-0.677919415733356
3.19335781574325,2.95954055100434,2.6573942686284,2.38322612160822,2.634410826444,38
3.24335781574325,2.95954055100434,2.53507588525563,2.25907680897902,2.51223930467834,33.1724413741837
3.29335781574325,2.95954055100434,2.41275750188286,2.12614139727293,2.39006778291268,28.4914674469003
3.34335781574325,2.95954055100434,2.29043911851008,1.99320598556684,2.26789626114702,23.9505016846193
3.39335781574325,2.95954055100434,2.16812073513731,1.86027057386075,2.14572473938136,19.5433551659561
3.44335781574325,2.95954055100434,2.04580235176454,1.72733516215466,2.0235532176157,15.2641984396555
3.49335781574325,2.95954055100434,1.92348396839176,1.59439975044856,1.90138169585004,11.1075357993318
3.54335781574325,2.95954055100434,1.80116558501899,1.46146433874247,1.77921017408438,7.06818173625243
3.59335781574325,2.95954055100434,1.67884720164622,1.32852892703638,1.65703865231873,3.14123935801507
3.64335781574325,2.95954055100434,1.55652881827344,1.19559351533029,1.54590607293727,-0.677919415733356
3.19335781574325,3.45954055100434,3.1044067922791,2.76705392738135,3.06781932043609,38
3.24335781574325,3.45954055100434,2.9735214234202,2.65049663431171,2.94564779867043,33.1724413741837
3.29335781574325,3.45954055100434,2.8426360545613,2.52526439820698,2.82347627690477,28.4914674469003
3.34335781574325,3.45954055100434,2.71175068570241,2.39232898650089,2.70130475513911,23.9505016846193
3.39335781574325,3.45954055100434,2.58086531684351,2.25939357479479,2.57913323337345,19.5433551659561
3.44335781574325,3.45954055100434,2.44997994798462,2.1264581630887,2.45696171160779,15.2641984396555
3.49335781574325,3.45954055100434,2.31909457912572,1.99352275138261,2.33479018984213,11.1075357993318
3.54335781574325,3.45954055100434,2.18820921026682,1.86058733967652,2.21261866807647,7.06818173625243
3.59335781574325,3.45954055100434,2.05732384140793,1.72765192797043,2.09044714631081,3.14123935801507
3.64335781574325,3.45954055100434,1.92643847254903,1.59471651626434,1.97396529919819,-0.677919415733356
3.19335781574325,3.95954055100434,3.55141931592979,3.15088173315448,3.50122781442817,38
3.24335781574325,3.95954055100434,3.41196696158478,3.03432444008484,3.37905629266251,33.1724413741837
3.29335781574325,3.95954055100434,3.27251460723976,2.91776714701519,3.25688477089685,28.4914674469003
3.34335781574325,3.95954055100434,3.13306225289474,2.79145198743494,3.13471324913119,23.9505016846193
3.39335781574325,3.95954055100434,2.99360989854972,2.65851657572885,3.01254172736553,19.5433551659561
3.44335781574325,3.95954055100434,2.8541575442047,2.52558116402275,2.89037020559988,15.2641984396555
3.49335781574325,3.95954055100434,2.71470518985968,2.39264575231666,2.76819868383422,11.1075357993318
3.54335781574325,3.95954055100434,2.57525283551466,2.25971034061057,2.64602716206856,7.06818173625243
3.59335781574325,3.95954055100434,2.43580048116964,2.12677492890448,2.5238556403029,3.14123935801507
3.64335781574325,3.95954055100434,2.29634812682462,1.99383951719839,2.4020245254591,-0.677919415733356
3.19335781574325,4.45954055100434,3.99843183958049,3.53470953892761,3.93463630842026,38
3.24335781574325,4.45954055100434,3.85041249974935,3.41815224585797,3.8124647866546,33.1724413741837
3.29335781574325,4.45954055100434,3.7023931599182,3.30159495278832,3.69029326488894,28.4914674469003
3.34335781574325,4.45954055100434,3.55437382008706,3.18503765971867,3.56812174312328,23.9505016846193
3.39335781574325,4.45954055100434,3.40635448025592,3.0576395766629,3.44595022135762,19.5433551659561
3.44335781574325,4.45954055100434,3.25833514042478,2.9247041649568,3.32377869959196,15.2641984396555
